Temperature[K]	Time[s]	Desorption_events
1560.95177472	0.380709886341	1.0	
1564.10195222	1.26007100048	1.0	
1567.08878722	1.57544388589	1.0	
1569.49758615	2.22359057339	1.0	
1572.84189732	2.91316835593	1.0	
1575.51262041	3.2918798085	1.0	
1578.11369193	3.95359696201	1.0	
1581.52490239	4.65636399222	1.0	
1583.43286	4.71678000794	1.0	
1584.8443913	5.22097651174	1.0	
1587.41049116	5.7432199513	1.0	
1588.86139653	5.80133866015	1.0	
1591.15144626	6.6592398457	1.0	
1594.03710587	6.95560250322	1.0	
1595.62953213	7.29621034891	1.0	
1598.51672109	8.11047808803	1.0	
1602.48435501	8.88326391456	1.0	
1604.52948688	8.92853083725	1.0	
1606.43942564	9.64723941886	1.0	
1608.78211086	9.86560492484	1.0	
1609.34686906	9.8731427011	1.0	
1609.54225781	9.94376042409	1.0	
1610.1780808	10.1274718941	1.0	
1611.22193688	10.3613028585	1.0	
1614.02502527	11.2487072504	1.0	
1616.6590244	11.4149025107	1.0	
1617.96385969	11.7706413668	1.0	
1618.88278314	11.7824718886	1.0	
1619.97652988	12.2081400646	1.0	
1622.97034955	12.9799997548	1.0	
1626.8778044	13.7711220036	1.0	
1630.2768272	14.3396088779	1.0	
1632.84477432	14.7983008488	1.0	
1635.1250632	15.2517244295	1.0	
1638.47783963	16.139411424	1.0	
1642.18812577	16.7358388853	1.0	
1645.64874396	17.5236587006	1.0	
1648.05445152	17.6981219067	1.0	
1650.26788702	18.4090328994	1.0	
1654.35477153	19.3328757139	1.0	
1658.72412351	20.1567736888	1.0	
1660.79260138	20.1602668624	1.0	
1660.92442733	20.2095040688	1.0	
1663.15179122	21.0512124188	1.0	
1666.48058466	21.5410214446	1.0	
1668.70391819	21.9405458317	1.0	
1669.75250813	21.9604574205	1.0	
1671.72468252	22.7294155859	1.0	
1674.1877246	22.9456742548	1.0	
1676.62082174	23.7026544395	1.0	
1680.33770361	24.4324270026	1.0	
1683.29656725	24.886199896	1.0	
1685.96264923	25.4988597976	1.0	
1689.33489275	26.2350973031	1.0	
1691.25893592	26.2684770667	1.0	
1692.45211489	26.7123688883	1.0	
1694.96757829	27.2746624285	1.0	
1696.93463522	27.4991916607	1.0	
1698.29903941	27.8204241028	1.0	
1699.44457349	27.9574052951	1.0	
1700.96874117	28.430091172	1.0	
1703.38122944	28.922400603	1.0	
1705.16975322	29.1455006855	1.0	
1707.57112719	29.8829501907	1.0	
1710.28073808	30.2293450404	1.0	
1711.85259271	30.5116920425	1.0	
1712.7256566	30.578570596	1.0	
1715.36639028	31.5679855144	1.0	
1718.22215086	31.7208748279	1.0	
1720.79488663	32.5970798249	1.0	
1723.61333575	32.8482544767	1.0	
1725.26639688	33.2583042734	1.0	
1726.58203121	33.3745082098	1.0	
1728.23032362	33.9176212375	1.0	
1731.00577592	34.4846891312	1.0	
1732.96474713	34.7012097217	1.0	
1733.96855683	34.8862130092	1.0	
1736.11909248	35.5614239815	1.0	
1738.85152154	35.9791846344	1.0	
1740.14623516	36.0793094296	1.0	
1741.26331416	36.4260162331	1.0	
1743.95789791	37.1571429307	1.0	
1745.97460434	37.2326988042	1.0	
1746.3649307	37.313273474	1.0	
1747.73538196	37.7808793107	1.0	
1749.06390232	37.8446816182	1.0	
1749.94500364	38.1333198368	1.0	
1750.66662701	38.133330966	1.0	
1751.13611461	38.321114876	1.0	
1751.89504076	38.4369014274	1.0	
1752.18810288	38.4383397251	1.0	
1752.73161637	38.654306824	1.0	
1753.36011313	38.6897384293	1.0	
1754.65248843	39.1712569418	1.0	
1756.05535546	39.2508852442	1.0	
1756.61902949	39.3967265532	1.0	
1757.04018274	39.4193465413	1.0	
1757.63989546	39.6366116425	1.0	
1758.92708205	39.9342211768	1.0	
1760.09760005	40.1048188439	1.0	
1761.89630363	40.6537026066	1.0	
1763.89198152	40.9030900001	1.0	
1764.70575509	40.979212037	1.0	
1765.35533762	41.162923011	1.0	
1766.02255226	41.2460978926	1.0	
1767.4727524	41.7430030674	1.0	
1770.1984829	42.3363900929	1.0	
1772.5609254	42.6879800691	1.0	
1773.47279999	42.7011399287	1.0	
1774.42149527	43.0674581796	1.0	
1775.39936843	43.0922891916	1.0	
1776.08000916	43.339714474	1.0	
1776.75898295	43.3638787058	1.0	
1777.30151272	43.5567263841	1.0	
1778.84134156	43.9798102413	1.0	
1780.43536243	44.1943347304	1.0	
1781.46457308	44.3914945015	1.0	
1782.32022557	44.536595725	1.0	
1783.12460566	44.7132465389	1.0	
1784.38518763	45.0408285132	1.0	
1785.2380774	45.0544024484	1.0	
1785.34204947	45.0824173396	1.0	
1786.30567868	45.4398541306	1.0	
1787.71960701	45.6479886723	1.0	
1788.31517515	45.6780813892	1.0	
1788.65392658	45.7834892439	1.0	
1790.03591305	46.2308759748	1.0	
1791.49642709	46.3676948608	1.0	
1792.07288916	46.461460804	1.0	
1792.31779262	46.4656562424	1.0	
1792.6212737	46.5828532367	1.0	
1793.71801545	46.9043529453	1.0	
1794.82750766	47.0266501175	1.0	
1795.46825783	47.1606530153	1.0	
1796.07713365	47.2702004467	1.0	
1796.73925731	47.4255024779	1.0	
1797.49184518	47.5712355937	1.0	
1797.92520065	47.5988446667	1.0	
1798.00504576	47.6031736372	1.0	
1798.30216267	47.7176914293	1.0	
1798.78287458	47.7954584022	1.0	
1799.6063829	48.0470947567	1.0	
1800.95833796	48.3362404272	1.0	
1801.73205482	48.3565815002	1.0	
1802.08770417	48.4785001686	1.0	
1802.5713868	48.5500545524	1.0	
1803.18239395	48.7229030291	1.0	
1804.0672732	48.9040062511	1.0	
1804.92714866	49.0668532147	1.0	
1805.34707525	49.0719768835	1.0	
1805.43423588	49.1017174695	1.0	
1806.01486856	49.304229954	1.0	
1807.53071755	49.7080570645	1.0	
1808.74395096	49.7895233203	1.0	
1809.04910567	49.8301189485	1.0	
1809.20454873	49.851700544	1.0	
1809.3604413	49.8924759746	1.0	
1809.72873704	49.99901884	1.0	
1810.20892062	50.0845494086	1.0	
1810.80080902	50.2357741996	1.0	
1811.23524809	50.258325038	1.0	
1811.67425274	50.4113760573	1.0	
1812.53151476	50.6012298456	1.0	
1813.16633573	50.6653044453	1.0	
1813.4937822	50.7322084347	1.0	
1814.07730369	50.8987130414	1.0	
1814.57648485	50.9318808975	1.0	
1814.98358859	51.0615545396	1.0	
1815.37798391	51.0896390249	1.0	
1815.55160585	51.1310033163	1.0	
1815.80179669	51.1897153603	1.0	
1816.15795214	51.273465497	1.0	
1816.3806268	51.2787852246	1.0	
1816.49166543	51.3178809487	1.0	
1816.98105016	51.4745391165	1.0	
1817.81187149	51.6502094792	1.0	
