Temperature[K]	Time[s]	Desorption_events	Site_coverage_filled	Site_coverage_empty	Desorption_TOF
1560.95177472	0.380709886341	1.0	0.9975	0.0025	0.000181361249038	
1564.10195222	1.26007100048	1.0	0.995	0.005	0.000189615409186	
1567.08878722	1.57544388589	1.0	0.9925	0.0075	0.000210709383849	
1569.49758615	2.22359057339	1.0	0.99	0.01	0.000218471474485	
1572.84189732	2.91316835593	1.0	0.9875	0.0125	0.000235826252745	
1575.51262041	3.2918798085	1.0	0.985	0.015	0.000255849961467	
1578.11369193	3.95359696201	1.0	0.9825	0.0175	0.00026714294824	
1581.52490239	4.65636399222	1.0	0.98	0.02	0.000288612648139	
1583.43286	4.71678000794	1.0	0.9775	0.0225	0.000313176865629	
1584.8443913	5.22097651174	1.0	0.975	0.025	0.000314741187325	
1587.41049116	5.7432199513	1.0	0.9725	0.0275	0.000333520852445	
1588.86139653	5.80133866015	1.0	0.97	0.03	0.000353779680774	
1591.15144626	6.6592398457	1.0	0.9675	0.0325	0.000355590300458	
1594.03710587	6.95560250322	1.0	0.965	0.035	0.000392716189506	
1595.62953213	7.29621034891	1.0	0.9625	0.0375	0.000405652238227	
1598.51672109	8.11047808803	1.0	0.96	0.04	0.000421165260151	
1602.48435501	8.88326391456	1.0	0.9575	0.0425	0.000462333202333	
1604.52948688	8.92853083725	1.0	0.955	0.045	0.000503941692811	
1606.43942564	9.64723941886	1.0	0.9525	0.0475	0.000506143297242	
1608.78211086	9.86560492484	1.0	0.95	0.05	0.000548886086872	
1609.34686906	9.8731427011	1.0	0.9475	0.0525	0.000566806547554	
1609.54225781	9.94376042409	1.0	0.945	0.055	0.00056071699766	
1610.1780808	10.1274718941	1.0	0.9425	0.0575	0.000563551550546	
1611.22193688	10.3613028585	1.0	0.94	0.06	0.000574249625695	
1614.02502527	11.2487072504	1.0	0.9375	0.0625	0.000588493882147	
1616.6590244	11.4149025107	1.0	0.935	0.065	0.000650031934595	
1617.96385969	11.7706413668	1.0	0.9325	0.0675	0.000660984695369	
1618.88278314	11.7824718886	1.0	0.93	0.07	0.000690033145813	
1619.97652988	12.2081400646	1.0	0.9275	0.0725	0.000685746906289	
1622.97034955	12.9799997548	1.0	0.925	0.075	0.000718202820648	
1626.8778044	13.7711220036	1.0	0.9225	0.0775	0.000782301958142	
1630.2768272	14.3396088779	1.0	0.92	0.08	0.000853411433349	
1632.84477432	14.7983008488	1.0	0.9175	0.0825	0.000907825686751	
1635.1250632	15.2517244295	1.0	0.915	0.085	0.000953204064804	
1638.47783963	16.139411424	1.0	0.9125	0.0875	0.00100050786243	
1642.18812577	16.7358388853	1.0	0.91	0.09	0.00110201555355	
1645.64874396	17.5236587006	1.0	0.9075	0.0925	0.00117459505925	
1648.05445152	17.6981219067	1.0	0.905	0.095	0.00127824775872	
1650.26788702	18.4090328994	1.0	0.9025	0.0975	0.001299735102	
1654.35477153	19.3328757139	1.0	0.9	0.1	0.00140201589413	
1658.72412351	20.1567736888	1.0	0.8975	0.1025	0.00154745873761	
1660.79260138	20.1602668624	1.0	0.895	0.105	0.0017035877247	
1660.92442733	20.2095040688	1.0	0.8925	0.1075	0.00168432623694	
1663.15179122	21.0512124188	1.0	0.89	0.11	0.00168883769438	
1666.48058466	21.5410214446	1.0	0.8875	0.1125	0.00184547571874	
1668.70391819	21.9405458317	1.0	0.885	0.115	0.00194055506353	
1669.75250813	21.9604574205	1.0	0.8825	0.1175	0.00201927177238	
1671.72468252	22.7294155859	1.0	0.88	0.12	0.00201897263451	
1674.1877246	22.9456742548	1.0	0.8775	0.1225	0.00218694663002	
1676.62082174	23.7026544395	1.0	0.875	0.125	0.00223183269385	
1680.33770361	24.4324270026	1.0	0.8725	0.1275	0.00241310366381	
1683.29656725	24.886199896	1.0	0.87	0.13	0.00260067263461	
1685.96264923	25.4988597976	1.0	0.8675	0.1325	0.00272120843633	
1689.33489275	26.2350973031	1.0	0.865	0.135	0.00289502223733	
1691.25893592	26.2684770667	1.0	0.8625	0.1375	0.00311989133868	
1692.45211489	26.7123688883	1.0	0.86	0.14	0.00312159532368	
1694.96757829	27.2746624285	1.0	0.8575	0.1425	0.00326088111781	
1696.93463522	27.4991916607	1.0	0.855	0.145	0.00344858103092	
1698.29903941	27.8204241028	1.0	0.8525	0.1475	0.00352004472535	
1699.44457349	27.9574052951	1.0	0.85	0.15	0.00362919419137	
1700.96874117	28.430091172	1.0	0.8475	0.1525	0.00367051501899	
1703.38122944	28.922400603	1.0	0.845	0.155	0.0038440687797	
1705.16975322	29.1455006855	1.0	0.8425	0.1575	0.00403355783131	
1707.57112719	29.8829501907	1.0	0.84	0.16	0.00411518923123	
1710.28073808	30.2293450404	1.0	0.8375	0.1625	0.00442727308473	
1711.85259271	30.5116920425	1.0	0.835	0.165	0.00457390233626	
1712.7256566	30.578570596	1.0	0.8325	0.1675	0.00469432379446	
1715.36639028	31.5679855144	1.0	0.83	0.17	0.00471258759179	
1718.22215086	31.7208748279	1.0	0.8275	0.1725	0.00519823138812	
1720.79488663	32.5970798249	1.0	0.825	0.175	0.00526400839946	
1723.61333575	32.8482544767	1.0	0.8225	0.1775	0.00573629204609	
1725.26639688	33.2583042734	1.0	0.82	0.18	0.0058662919018	
1726.58203121	33.3745082098	1.0	0.8175	0.1825	0.00609608679745	
1728.23032362	33.9176212375	1.0	0.815	0.185	0.00614874272867	
1731.00577592	34.4846891312	1.0	0.8125	0.1875	0.00647465650037	
1732.96474713	34.7012097217	1.0	0.81	0.19	0.00683232756912	
1733.96855683	34.8862130092	1.0	0.8075	0.1925	0.00696118330763	
1736.11909248	35.5614239815	1.0	0.805	0.195	0.00706893950034	
1738.85152154	35.9791846344	1.0	0.8025	0.1975	0.0075380696212	
1740.14623516	36.0793094296	1.0	0.8	0.2	0.00783324206392	
1741.26331416	36.4260162331	1.0	0.7975	0.2025	0.00788714718258	
1743.95789791	37.1571429307	1.0	0.795	0.205	0.00813751496556	
1745.97460434	37.2326988042	1.0	0.7925	0.2075	0.00871935147804	
1746.3649307	37.313273474	1.0	0.79	0.21	0.00875762447417	
1747.73538196	37.7808793107	1.0	0.7875	0.2125	0.00879963642372	
1749.06390232	37.8446816182	1.0	0.785	0.215	0.00918483699418	
1749.94500364	38.1333198368	1.0	0.7825	0.2175	0.00921353403784	
1750.66662701	38.133330966	1.0	0.78	0.22	0.00685530799182	
1751.13611461	38.321114876	1.0	0.7775	0.2225	0.00941770597702	
1751.89504076	38.4369014274	1.0	0.775	0.225	0.00956223085823	
1752.18810288	38.4383397251	1.0	0.7725	0.2275	0.0096541195693	
1752.73161637	38.654306824	1.0	0.77	0.23	0.00961026239154	
1753.36011313	38.6897384293	1.0	0.7675	0.2325	0.00978447589391	
1754.65248843	39.1712569418	1.0	0.765	0.235	0.00978600577505	
1756.05535546	39.2508852442	1.0	0.7625	0.2375	0.0102241623383	
1756.61902949	39.3967265532	1.0	0.76	0.24	0.0102695625147	
1757.04018274	39.4193465413	1.0	0.7575	0.2425	0.0103850212656	
1757.63989546	39.6366116425	1.0	0.755	0.245	0.0103713926564	
1758.92708205	39.9342211768	1.0	0.7525	0.2475	0.0105580157055	
1760.09760005	40.1048188439	1.0	0.75	0.25	0.0108315628628	
1761.89630363	40.6537026066	1.0	0.7475	0.2525	0.0109761448516	
1763.89198152	40.9030900001	1.0	0.745	0.255	0.0115367538479	
1764.70575509	40.979212037	1.0	0.7425	0.2575	0.0117795421189	
1765.35533762	41.162923011	1.0	0.74	0.26	0.0118254780586	
1766.02255226	41.2460978926	1.0	0.7375	0.2625	0.0119969934701	
1767.4727524	41.7430030674	1.0	0.735	0.265	0.0120525981931	
1770.1984829	42.3363900929	1.0	0.7325	0.2675	0.0126000907104	
1772.5609254	42.6879800691	1.0	0.73	0.27	0.01329301491	
