Simulation_name,Snapshot,Step,Time_(s),sps,tps,T,F1p0_tof_data,F2p0_tof_data,F3p0_tof_data,F4p0_tof_data,F5p0_tof_data,F6p0_tof_data,F7p0_tof_data,R1p0_tof_data,R2p0_tof_data,R3p0_tof_data,R4p0_tof_data,R5p0_tof_data,R6p0_tof_data,R7p0_tof_data,F1p0_tof_integ,F2p0_tof_integ,F3p0_tof_integ,F4p0_tof_integ,F5p0_tof_integ,F6p0_tof_integ,F7p0_tof_integ,R1p0_tof_integ,R2p0_tof_integ,R3p0_tof_integ,R4p0_tof_integ,R5p0_tof_integ,R6p0_tof_integ,R7p0_tof_integ,A1_Site_coord,B1_Site_coord,B2_Site_coord,C1_Site_coord,C2_Site_coord,D1_Site_coord,D2_Site_coord,E1_Site_coord,
MyFirstThrottling,0,0,0.0,0,0,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MyFirstThrottling,1,400000,0.39210595824822486,400000,0.39210595824822486,600,0.8161059358282493,0.10838906960218937,0.02550331049463279,0.006375827623658198,13.000312524639064,94.03708162133476,1167.6180643757732,0.10838906960218937,0.012751655247316395,0.0,0.0,12.9493059036498,94.03070579371109,1167.6180643757732,0.8466393480731468,0.12809590406054558,0.00952913797149496,0.0011679420879941965,12.809590406054204,95.29137971494791,1167.9420879941704,0.12809590406054558,0.00952913797149496,0.0011679420879941965,0.0004559482419033487,13.04814576582549,94.71663528193793,1164.0744627533218,0.7225,0.22,0.02,0.025,0.0025,0.0075,0.0,0.0025,
MyFirstThrottling,2,800000,0.46434911992977856,400000,0.0722431616815537,600,0.5536856232333676,0.20763210871251286,0.06921070290417095,0.0,22.424267740951386,303.62735364059796,6594.534194115216,0.20763210871251286,0.06921070290417095,0.06921070290417095,0.0,22.3896623894993,303.4889322347896,6594.499588763764,0.7081489835522311,0.22436552550957828,0.030154233194261873,0.008203564103926742,22.43655255095811,301.54233194259126,6606.948374332033,0.22436552550957828,0.030154233194261873,0.008203564103926742,0.002500000000000309,22.775456200697512,303.0474520610871,6618.276047106232,0.6975,0.2325,0.0225,0.025,0.0125,0.005,0.0025,0.0025,
MyFirstThrottling,3,1200000,0.96158522378813,400000,0.4972361038583515,600,0.6083629037648757,0.25641742224800546,0.08547247408266849,0.015083377779294438,27.009301810123237,458.3536839571994,519.5570031929831,0.29161197039969244,0.07038909630337403,0.015083377779294438,0.005027792593098146,26.964051676785356,458.3285449942339,519.5570031929831,0.60657890694295,0.27053506438250946,0.06287092444480212,0.017421816590899947,27.05350643825048,458.5980356128548,518.3505617392204,0.27053506438250946,0.06287092444480212,0.017421816590899947,0.007537210641441578,27.05977363792094,456.036155390831,518.9905575243994,0.54,0.275,0.045,0.07,0.025,0.035,0.0025,0.0075,
MyFirstThrottling,4,1600000,1.424187721013538,400000,0.462602497225408,600,0.5512291903511894,0.3080398416668411,0.1405094014620679,0.04323366198832858,28.701747352501634,493.0528939381448,558.2708730475384,0.3296566726610054,0.10808415497082144,0.0594462852339518,0.005404207748541072,28.750385222238506,493.0907233923845,558.2708730475384,0.4824307512588748,0.2932378084477403,0.12692554392926297,0.03647388794467112,29.32378084477356,491.5337764037893,559.1063093729102,0.2932378084477403,0.12692554392926297,0.03647388794467112,0.016006255779152382,28.548470559903752,493.701843697875,556.2481217973614,0.4375,0.3075,0.0225,0.1425,0.0075,0.055,0.0025,0.025,
MyFirstThrottling,5,2000000,2.108276948302251,400000,0.6840892272887129,600,0.3946853556956383,0.24485110029266446,0.16079773750563042,0.08039886875281521,28.307710789059392,240.90059224167388,460.9924954525055,0.29601401677172867,0.13156178523187945,0.07308988068437747,0.040199434376407606,28.289438318888298,240.89328325360543,460.9924954525055,0.4181209050176309,0.2791215258471915,0.13900138752181804,0.06927156526066697,27.912152584719916,240.70706381005726,461.32527470417807,0.2791215258471915,0.13900138752181804,0.06927156526066697,0.046163637734664566,27.53806991553246,240.6833638856254,458.4604226690502,0.37,0.285,0.035,0.155,0.0125,0.0875,0.0025,0.0525,
MyFirstThrottling,6,2400000,3.1616447922900606,400000,1.0533678439878096,600,0.34176095468903095,0.2800541156479559,0.18037383719698855,0.07832021878290292,27.165249217851724,191.3742679260417,255.35713999174718,0.2966674953897838,0.2088539167544078,0.11392031822967699,0.05221347918860195,27.160502537925485,191.3718945860786,255.35476665178408,0.3417117409037833,0.27393276466215283,0.16810780260141933,0.1018244976195548,27.393276466215006,190.77906132032606,255.45497070707978,0.27393276466215283,0.16810780260141933,0.1018244976195548,0.06050666419545285,26.904164291565575,191.51464928037305,254.30891813416255,0.3225,0.2525,0.04,0.1575,0.015,0.1275,0.005,0.08,
MyFirstThrottling,7,2800000,4.610290744220542,400000,1.4486459519304815,600,0.2882001633619553,0.2398791778880945,0.1760264470833499,0.13633420901553575,24.391743167412432,135.4230132894572,184.59134175859177,0.23297617996325726,0.17257494812093133,0.12770546160948917,0.10527071835376811,24.39519466637485,135.42991628738207,184.58961600911053,0.2958079945271875,0.24536390501116945,0.16751139884061544,0.12441246456050345,24.536390501117154,135.79572394179087,183.8032092991212,0.24536390501116945,0.16751139884061544,0.12441246456050345,0.11334532119308696,24.43994609474591,134.8807106716639,184.38610977729667,0.2425,0.24,0.035,0.195,0.005,0.15,0.0075,0.125,
MyFirstThrottling,8,3200000,6.258485152810177,400000,1.6481944085896352,600,0.23813938328783885,0.22297126970262618,0.19718547660776464,0.18808460845663708,22.934187740841548,113.01458070070254,166.647513526656,0.22448808106114743,0.17443330622994566,0.1319625881913502,0.15774838128621171,22.944805420351198,113.00547983255142,166.64296309258043,0.22564612028488987,0.22577348401904185,0.16465784857492935,0.1636025149149155,22.577348401911145,113.62235068186678,166.04077228011565,0.22577348401904185,0.16465784857492935,0.1636025149149155,0.164559608372004,22.92500310100605,113.49251708144753,166.32696950662154,0.22,0.2,0.0175,0.1525,0.02,0.2,0.015,0.175,
MyFirstThrottling,9,3600000,8.391024458174206,400000,2.1325393053640287,600,0.22273915364899527,0.20398217228907986,0.18288056825917504,0.16177896422927024,21.30910313619888,105.93474147546215,106.43414610416988,0.20632679495906928,0.20515448362407457,0.2168775969740217,0.17467438891421205,21.307930824863885,105.93239685279215,106.4318014814999,0.1999439626794675,0.21257586245315335,0.19411892269411488,0.17837850446576653,21.257586245316567,105.71183849874036,106.578605374971,0.21257586245315335,0.19411892269411488,0.17837850446576653,0.15620944711365087,21.433867334808888,106.043647875947,106.75044406210083,0.185,0.235,0.02,0.2175,0.025,0.15,0.02,0.1475,
