Simulation_name,Snapshot,Step,Time_(s),sps,tps,T,F1p0_tof_data,F2p0_tof_data,F3p0_tof_data,F4p0_tof_data,F5p0_tof_data,F6p0_tof_data,F7p0_tof_data,R1p0_tof_data,R2p0_tof_data,R3p0_tof_data,R4p0_tof_data,R5p0_tof_data,R6p0_tof_data,R7p0_tof_data,F1p0_tof_integ,F2p0_tof_integ,F3p0_tof_integ,F4p0_tof_integ,F5p0_tof_integ,F6p0_tof_integ,F7p0_tof_integ,R1p0_tof_integ,R2p0_tof_integ,R3p0_tof_integ,R4p0_tof_integ,R5p0_tof_integ,R6p0_tof_integ,R7p0_tof_integ,A1_Site_coord,B1_Site_coord,B2_Site_coord,C1_Site_coord,C2_Site_coord,D1_Site_coord,D2_Site_coord,E1_Site_coord
test_reaction,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
test_reaction,1,400000,0.529369431,400000,0.529369431,600,0.774506377,0.136955396,0.0094452,0,14.80535055,182.9865766,746.2321712,0.132232796,0.033058199,0,0,14.72978895,182.9676862,746.2321712,0.816782289,0.14763317,0.018296627,0.000747959,14.76331696,182.9662734,747.9594704,0.14763317,0.018296627,0.000747959,0,14.64085077,182.4350358,747.5386364,0.66,0.245,0.04,0.04,0.01,0.005,0,0
test_reaction,2,800000,0.631474958,400000,0.102105527,600,0.563142875,0.17139131,0.073453418,0.024484473,27.15328037,495.7371213,4373.343083,0.269329201,0.024484473,0.024484473,0,27.34915615,495.7371213,4373.318599,0.636053475,0.275595699,0.049921257,0.004385555,27.55956991,499.2125727,4385.554823,0.275595699,0.049921257,0.004385555,0.000193781,28.46880517,494.4267622,4371.596008,0.63,0.28,0.02,0.05,0.01,0.005,0.0025,0.0025
test_reaction,3,1200000,1.07408558,400000,0.442610622,600,0.52529241,0.197690692,0.045186444,0.005648305,29.59712073,293.9773554,805.4878999,0.321953412,0.101669499,0.011296611,0,29.59712073,293.9717071,805.4822516,0.583365901,0.29691966,0.064628909,0.014237284,29.69196598,293.666206,806.6494852,0.29691966,0.064628909,0.014237284,0.003172454,29.75604201,295.3986762,803.8186476,0.54,0.3275,0.02,0.075,0.0125,0.015,0.005,0.005
test_reaction,4,1600000,1.662081017,400000,0.587995437,600,0.471942438,0.246600553,0.089286407,0.029762136,31.99854763,340.3725393,477.3336361,0.318880026,0.097789875,0.034013869,0.012755201,31.99004416,340.376791,477.3208809,0.491348402,0.319157583,0.105234053,0.029368858,31.91575834,341.7674367,477.4628214,0.319157583,0.105234053,0.029368858,0.009335943,32.12374704,340.7885922,477.6679554,0.45,0.325,0.025,0.1325,0.01,0.03,0.0125,0.015
test_reaction,5,2000000,2.311970698,400000,0.649889681,600,0.384680673,0.323131766,0.196187143,0.080782941,28.14708487,267.4569317,473.0264367,0.276970085,0.142331849,0.050008488,0.02308084,28.13169764,267.4569317,473.0264367,0.417406312,0.285241643,0.149577732,0.067064742,28.52416433,269.4203587,474.3145332,0.285241643,0.149577732,0.067064742,0.031277302,27.86924226,267.9648484,472.8707788,0.38,0.2675,0.035,0.155,0.01,0.0875,0.0125,0.0525
test_reaction,6,2400000,3.409194433,400000,1.097223735,600,0.303037557,0.255189522,0.168607362,0.104809982,25.96553382,170.8220429,258.1697706,0.280252778,0.186835185,0.109366938,0.056961947,25.98604012,170.8083721,258.1743276,0.345815805,0.25688772,0.164831228,0.102353409,25.68877199,170.8084926,259.0252568,0.25688772,0.164831228,0.102353409,0.077492035,25.97805072,170.4154226,258.0438873,0.355,0.24,0.0125,0.15,0.025,0.105,0.0075,0.105
test_reaction,7,2800000,5.282294328,400000,1.873099895,600,0.301639011,0.224227229,0.152154191,0.108109557,26.04639513,111.4315902,128.7317887,0.252255633,0.18819071,0.12012173,0.109444243,26.04372576,111.4395983,128.7251153,0.28436846,0.258443577,0.179653729,0.117021195,25.84435767,111.2461833,128.7973095,0.258443577,0.179653729,0.117021195,0.104799969,25.96151826,111.0756294,130.025645,0.2625,0.26,0.0175,0.1725,0.01,0.155,0.02,0.1025
test_reaction,8,3200000,6.891612819,400000,1.609318491,600,0.240785154,0.205055744,0.189521218,0.141364187,23.3266443,122.8050887,163.8348788,0.229910985,0.173986692,0.170879786,0.108741682,23.32198394,122.7942145,163.8379858,0.249411659,0.231460493,0.183303273,0.144229756,23.14604928,122.8929774,163.6633786,0.231460493,0.183303273,0.144229756,0.135692223,23.21373332,122.106692,164.2629583,0.245,0.22,0.025,0.175,0.0275,0.1375,0.015,0.155
test_reaction,9,3600000,9.201667749,400000,2.31005493,600,0.224020647,0.207787267,0.199129464,0.168827154,19.8187928,80.09008688,115.7775499,0.205622816,0.164498253,0.165580478,0.165580478,19.8274506,80.09874468,115.7764677,0.215533734,0.198722408,0.179315292,0.185103302,19.87224076,80.29522863,115.6700236,0.198722408,0.179315292,0.185103302,0.16507906,19.96832939,79.5872639,115.6332686,0.2025,0.1825,0.005,0.2175,0.0075,0.205,0.0175,0.1625
test_reaction,10,4000000,11.58468333,400000,2.383015579,600,0.183590911,0.179394547,0.198278183,0.200376365,18.28880196,89.12761707,101.6516644,0.175198183,0.18254182,0.196180002,0.195130911,18.28145833,89.12656798,101.6495663,0.190880972,0.185927853,0.192049352,0.204132783,18.59278529,89.23566607,100.7318169,0.185927853,0.192049352,0.204132783,0.168827578,18.3165143,89.10305673,102.0901902,0.1825,0.1925,0.0225,0.2025,0.01,0.1925,0.0225,0.175
