Time [s]   Temperature [K]  CO_oxidation
  1.1679185E-11           200             0
  2.4547567E-11           200   1.1197923E-11
  3.9553358E-11           200   1.5082398E-11
  5.4133429E-11           200   3.4219683E-11
  6.83399E-11           200   6.8753025E-11
  8.5418378E-11           200   7.6612222E-11
  1.0283393E-10           200   1.1515633E-10
  1.2302591E-10           200   2.4548878E-10
  1.4409031E-10           200   3.5818238E-10
  1.6788082E-10           200   4.4357498E-10
  1.9218219E-10           200   5.527877E-10
  2.1722668E-10           200   6.6886868E-10
  2.4791922E-10           200   8.0451596E-10
  2.8373594E-10           200   9.8806066E-10
  3.2092949E-10           200   1.2778584E-09
  3.6394928E-10           200   1.5262607E-09
  4.1514059E-10           200   1.7113915E-09
  4.6742397E-10           200   1.9074769E-09
  5.2725303E-10           200   2.1695558E-09
  6.0726388E-10           200   2.4348074E-09
  6.8972684E-10           200   2.8700052E-09
  8.003158E-10           200   3.2885462E-09
  9.2788932E-10           200   3.7020579E-09
  1.0951947E-09           200   4.1553919E-09
  1.2904214E-09           200   4.8234587E-09
  1.5077746E-09           200   5.5773436E-09
  1.9080504E-09           200   6.249578E-09
  2.3230182E-09           200   6.8472828E-09
  2.9916763E-09           200   7.4305627E-09
  4.0350775E-09           200   8.3112587E-09
  5.4533547E-09           200   9.1952341E-09
  8.7327912E-09           200   1.0094187E-08
    1020105.6     3060516.8   1.0673072E-08
