Time [s]   Temperature [K]  CO_adsorption_bridge  CO_adsorption_cus  CO_desorption_bridge  CO_desorption_cus  COdiff_bridge_down  COdiff_bridge_left  COdiff_bridge_right  COdiff_bridge_up  COdiff_cus_down  COdiff_cus_left  COdiff_cus_right  COdiff_cus_up  O2_adsorption_bridge_right  O2_adsorption_bridge_up  O2_adsorption_cus_right  O2_adsorption_cus_up  O2_desorption_bridge_right  O2_desorption_bridge_up  O2_desorption_cus_right  O2_desorption_cus_up  Odiff_bridge_down  Odiff_bridge_left  Odiff_bridge_right  Odiff_bridge_up  Odiff_cus_down  Odiff_cus_left  Odiff_cus_right  Odiff_cus_up  React_bridge_down  React_bridge_left  React_bridge_right  React_bridge_up  React_cus_down  React_cus_left  React_cus_right  React_cus_up
  1.1679185E-11           200            12            12             0             0             0             0             0             0             0             0             0             0            22            16            20            18             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  2.4547567E-11           200            18            21             0             0             0             0             0             0             0             0             0             0            38            33            45            45             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  3.9553358E-11           200            26            29             0             0             0             0             0             0             0             0             0             0            60            53            67            65             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  5.4133429E-11           200            33            42             0             0             0             0             0             0             0             0             0             0            84            65            88            88             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  6.83399E-11           200            53            47             0             0             0             0             0             0             0             0             0             0           111            82           104           103             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  8.5418378E-11           200            71            57             0             0             0             0             0             0             0             0             0             0           128            97           127           120             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  1.0283393E-10           200            90            68             0             0             0             0             0             0             0             0             0             0           145           118           144           135             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  1.2302591E-10           200           105            80             0             0             0             0             0             0             0             0             0             0           165           136           162           152             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  1.4409031E-10           200           114            93             0             0             0             0             0             0             0             0             0             0           191           157           182           163             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  1.6788082E-10           200           130           104             0             0             0             0             0             0             0             0             0             0           212           173           202           179             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  1.9218219E-10           200           142           118             0             0             0             0             0             0             0             0             0             0           226           195           225           194             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  2.1722668E-10           200           162           125             0             0             0             0             0             0             0             0             0             0           238           215           242           218             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  2.4791922E-10           200           176           145             0             0             0             0             0             0             0             0             0             0           249           235           261           234             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
  2.8373594E-10           200           188           160             0             0             0             0             0             0             0             0             0             0           263           254           289           246             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
