Time [s]   Temperature [K]  CO_oxidation
  1.1679185E-11           200             0
  2.4547567E-11           200             0
  3.9553358E-11           200             0
  5.4133429E-11           200             0
  6.83399E-11           200             0
  8.5418378E-11           200             0
  1.0283393E-10           200             0
  1.2302591E-10           200             0
  1.4409031E-10           200             0
  1.6788082E-10           200             0
  1.9218219E-10           200             0
  2.1722668E-10           200             0
  2.4791922E-10           200             0
  2.8373594E-10           200             0
  3.2092949E-10           200             0
  3.6394928E-10           200             0
  4.1514059E-10           200             0
  4.6742397E-10           200             0
  5.2725303E-10           200             0
  6.0726388E-10           200             0
  6.8972684E-10           200             0
  8.003158E-10           200             0
  9.2788932E-10           200             0
  1.0951947E-09           200             0
  1.2904214E-09           200             0
  1.5077746E-09           200             0
  1.9080504E-09           200             0
  2.3230182E-09           200             0
  2.9916763E-09           200             0
  4.0350775E-09           200             0
  5.4533547E-09           200             0
  8.7327912E-09           200             0
    1020105.6     3060516.8   9.0186742E-09
